logcreationtime 1478066232256
sequence	Red	Red	Red	Red
room	RoomB2	Red
room	RoomB1
room	RoomA2	Red
action 	1478066301585	medic2	goTo(DropZone)
action 	1478066301913	medic1	goTo(FrontDropZone)
action 	1478066303428	medic3	goTo(DropZone)
action 	1478066303880	medic2	goTo(DropZone)
action 	1478066303912	medic1	goTo(DropZone)
action 	1478066304179	medic3	goTo(FrontDropZone)
action 	1478066305954	medic2	goTo(DropZone)
action 	1478066306063	medic3	goTo(DropZone)
action 	1478066306110	medic1	goTo(DropZone)
action 	1478066306796	medic3	goTo(FrontDropZone)
action 	1478066307763	medic3	goTo(DropZone)
action 	1478066308122	medic2	goTo(DropZone)
action 	1478066308356	medic1	goTo(DropZone)
action 	1478066308606	medic3	goTo(FrontDropZone)
action 	1478066310322	medic2	goTo(DropZone)
action 	1478066310665	medic1	goTo(DropZone)
action 	1478066310712	medic3	goTo(DropZone)
action 	1478066311211	medic2	goTo(FrontDropZone)
action 	1478066312740	medic3	goTo(DropZone)
action 	1478066312849	medic1	goTo(DropZone)
action 	1478066313317	medic2	goTo(DropZone)
action 	1478066313707	medic3	goTo(FrontDropZone)
action 	1478066315329	medic1	goTo(DropZone)
action 	1478066315423	medic2	goTo(DropZone)
action 	1478066315750	medic3	goTo(DropZone)
action 	1478066316298	medic1	goTo(FrontDropZone)
action 	1478066317500	medic2	goTo(DropZone)
action 	1478066317843	medic3	goTo(DropZone)
action 	1478066318358	medic2	goTo(FrontDropZone)
action 	1478066318482	medic1	goTo(DropZone)
action 	1478066319403	medic1	goTo(FrontDropZone)
action 	1478066319684	medic3	goTo(DropZone)
action 	1478066320167	medic2	goTo(DropZone)
action 	1478066320526	medic3	goTo(FrontDropZone)
action 	1478066320635	medic1	goTo(DropZone)
action 	1478066321520	medic1	goTo(FrontDropZone)
action 	1478066322471	medic2	goTo(DropZone)
action 	1478066322487	medic3	goTo(DropZone)
action 	1478066322583	medic1	goTo(DropZone)
action 	1478066323285	medic3	goTo(FrontDropZone)
action 	1478066324314	medic3	goTo(DropZone)
action 	1478066324626	medic2	goTo(DropZone)
action 	1478066324782	medic1	goTo(DropZone)
action 	1478066325141	medic3	goTo(FrontDropZone)
action 	1478066326919	medic2	goTo(DropZone)
action 	1478066327013	medic1	goTo(DropZone)
action 	1478066327029	medic3	goTo(DropZone)
action 	1478066327918	medic3	goTo(FrontDropZone)
action 	1478066329338	medic2	goTo(DropZone)
action 	1478066329494	medic1	goTo(DropZone)
action 	1478066329886	medic3	goTo(DropZone)
action 	1478066330183	medic2	goTo(FrontDropZone)
action 	1478066331883	medic1	goTo(DropZone)
action 	1478066332008	medic3	goTo(DropZone)
action 	1478066332226	medic2	goTo(DropZone)
action 	1478066332928	medic1	goTo(FrontDropZone)
action 	1478066333990	medic1	goTo(DropZone)
action 	1478066334115	medic3	goTo(DropZone)
action 	1478066334333	medic2	goTo(DropZone)
action 	1478066334942	medic1	goTo(FrontDropZone)
action 	1478066336081	medic3	goTo(DropZone)
action 	1478066336252	medic1	goTo(DropZone)
action 	1478066336627	medic2	goTo(DropZone)
action 	1478066337017	medic3	goTo(FrontDropZone)
action 	1478066338670	medic1	goTo(DropZone)
action 	1478066338686	medic2	goTo(DropZone)
action 	1478066338920	medic3	goTo(DropZone)
action 	1478066339481	medic1	goTo(FrontDropZone)
action 	1478066340932	medic2	goTo(DropZone)
action 	1478066341151	medic3	goTo(DropZone)
action 	1478066341603	medic1	goTo(DropZone)
action 	1478066341884	medic2	goTo(FrontDropZone)
action 	1478066343132	medic3	goTo(DropZone)
action 	1478066343896	medic1	goTo(DropZone)
action 	1478066344099	medic3	goTo(FrontDropZone)
action 	1478066344146	medic2	goTo(DropZone)
action 	1478066345144	medic2	goTo(FrontDropZone)
action 	1478066346019	medic1	goTo(DropZone)
action 	1478066346112	medic3	goTo(DropZone)
action 	1478066346926	medic3	goTo(FrontDropZone)
action 	1478066347409	medic2	goTo(DropZone)
action 	1478066348314	medic2	goTo(FrontDropZone)
action 	1478066348376	medic1	goTo(DropZone)
action 	1478066348987	medic3	goTo(DropZone)
action 	1478066349377	medic1	goTo(FrontDropZone)
action 	1478066350516	medic2	goTo(DropZone)
action 	1478066351125	medic3	goTo(DropZone)
action 	1478066351406	medic2	goTo(FrontDropZone)
action 	1478066351515	medic1	goTo(DropZone)
action 	1478066352404	medic2	goTo(DropZone)
action 	1478066352420	medic1	goTo(FrontDropZone)
action 	1478066353204	medic3	goTo(DropZone)
action 	1478066353750	medic1	goTo(DropZone)
action 	1478066354171	medic3	goTo(FrontDropZone)
action 	1478066354779	medic2	goTo(DropZone)
action 	1478066355427	medic3	goTo(DropZone)
action 	1478066355723	medic2	goTo(FrontDropZone)
action 	1478066356332	medic1	goTo(DropZone)
action 	1478066356831	medic2	goTo(DropZone)
action 	1478066357214	medic1	goTo(FrontDropZone)
action 	1478066357777	medic3	goTo(DropZone)
action 	1478066358326	medic1	goTo(DropZone)
action 	1478066358747	medic3	goTo(FrontDropZone)
action 	1478066359091	medic2	goTo(DropZone)
action 	1478066359683	medic3	goTo(DropZone)
action 	1478066360136	medic2	goTo(FrontDropZone)
action 	1478066360885	medic1	goTo(DropZone)
action 	1478066361415	medic2	goTo(DropZone)
action 	1478066361789	medic1	goTo(FrontDropZone)
action 	1478066361945	medic3	goTo(DropZone)
action 	1478066362959	medic3	goTo(FrontDropZone)
action 	1478066363162	medic1	goTo(DropZone)
action 	1478066363880	medic2	goTo(DropZone)
action 	1478066364129	medic3	goTo(DropZone)
action 	1478066364270	medic1	goTo(FrontDropZone)
action 	1478066365581	medic1	goTo(DropZone)
action 	1478066366159	medic2	goTo(DropZone)
action 	1478066366471	medic3	goTo(DropZone)
action 	1478066366627	medic1	goTo(FrontDropZone)
action 	1478066367891	medic1	goTo(DropZone)
action 	1478066368546	medic2	goTo(DropZone)
action 	1478066368593	medic3	goTo(DropZone)
action 	1478066368874	medic1	goTo(FrontDropZone)
action 	1478066370137	medic1	goTo(DropZone)
action 	1478066371011	medic3	goTo(DropZone)
action 	1478066371089	medic2	goTo(DropZone)
action 	1478066371120	medic1	goTo(FrontDropZone)
action 	1478066371885	medic3	goTo(FrontDropZone)
action 	1478066372477	medic1	goTo(DropZone)
action 	1478066373367	medic2	goTo(DropZone)
action 	1478066373632	medic1	goTo(FrontDropZone)
action 	1478066373975	medic3	goTo(DropZone)
action 	1478066374708	medic3	goTo(FrontDropZone)
action 	1478066375067	medic1	goTo(DropZone)
action 	1478066375941	medic2	goTo(DropZone)
action 	1478066376097	medic1	goTo(FrontDropZone)
action 	1478066377018	medic3	goTo(DropZone)
action 	1478066377409	medic1	goTo(DropZone)
action 	1478066377971	medic3	goTo(FrontDropZone)
action 	1478066378314	medic2	goTo(DropZone)
action 	1478066379344	medic2	goTo(FrontDropZone)
action 	1478066379921	medic1	goTo(DropZone)
action 	1478066380233	medic3	goTo(DropZone)
action 	1478066380529	medic2	goTo(DropZone)
action 	1478066380873	medic1	goTo(FrontDropZone)
action 	1478066382136	medic1	goTo(DropZone)
action 	1478066382464	medic3	goTo(DropZone)
action 	1478066382791	medic2	goTo(DropZone)
action 	1478066383057	medic1	goTo(FrontDropZone)
action 	1478066384262	medic1	goTo(DropZone)
action 	1478066384777	medic3	goTo(DropZone)
action 	1478066385260	medic1	goTo(FrontDropZone)
action 	1478066385260	medic2	goTo(DropZone)
action 	1478066386196	medic2	goTo(FrontDropZone)
action 	1478066386633	medic1	goTo(DropZone)
action 	1478066386836	medic3	goTo(DropZone)
action 	1478066387694	medic1	goTo(FrontDropZone)
action 	1478066388162	medic2	goTo(DropZone)
action 	1478066388926	medic1	goTo(DropZone)
action 	1478066389129	medic2	goTo(FrontDropZone)
action 	1478066389145	medic3	goTo(DropZone)
action 	1478066390081	medic3	goTo(FrontDropZone)
action 	1478066390143	medic2	goTo(DropZone)
action 	1478066391048	medic2	goTo(FrontDropZone)
action 	1478066391235	medic3	goTo(DropZone)
action 	1478066391297	medic1	goTo(DropZone)
action 	1478066392077	medic3	goTo(FrontDropZone)
action 	1478066393216	medic2	goTo(DropZone)
action 	1478066393934	medic1	goTo(DropZone)
action 	1478066394105	medic3	goTo(DropZone)
action 	1478066394215	medic2	goTo(FrontDropZone)
action 	1478066396102	medic3	goTo(DropZone)
action 	1478066396367	medic1	goTo(DropZone)
action 	1478066396477	medic2	goTo(DropZone)
action 	1478066397023	medic3	goTo(FrontDropZone)
action 	1478066398785	medic2	goTo(DropZone)
action 	1478066399191	medic3	goTo(DropZone)
action 	1478066399222	medic1	goTo(DropZone)
action 	1478066399737	medic2	goTo(FrontDropZone)
action 	1478066401687	medic3	goTo(DropZone)
action 	1478066401874	medic1	goTo(DropZone)
action 	1478066401905	medic2	goTo(DropZone)
action 	1478066402670	medic3	goTo(FrontDropZone)
action 	1478066403715	medic3	goTo(DropZone)
action 	1478066404296	medic2	goTo(DropZone)
action 	1478066404500	medic1	goTo(DropZone)
action 	1478066404531	medic3	goTo(FrontDropZone)
action 	1478066405609	medic1	goTo(FrontDropZone)
action 	1478066406635	medic3	goTo(DropZone)
action 	1478066406776	medic2	goTo(DropZone)
action 	1478066406916	medic1	goTo(DropZone)
action 	1478066407496	medic3	goTo(FrontDropZone)
action 	1478066408760	medic3	goTo(DropZone)
action 	1478066409150	medic2	goTo(DropZone)
action 	1478066409571	medic1	goTo(DropZone)
action 	1478066409665	medic3	goTo(FrontDropZone)
action 	1478066410694	medic1	goTo(FrontDropZone)
action 	1478066410772	medic3	goTo(DropZone)
action 	1478066411580	medic3	goTo(FrontDropZone)
action 	1478066411596	medic2	goTo(DropZone)
action 	1478066411986	medic1	goTo(DropZone)
action 	1478066412594	medic2	goTo(FrontDropZone)
action 	1478066412656	medic3	goTo(DropZone)
action 	1478066413514	medic3	goTo(FrontDropZone)
action 	1478066413858	medic2	goTo(DropZone)
action 	1478066414655	medic1	goTo(DropZone)
action 	1478066414936	medic2	goTo(FrontDropZone)
action 	1478066415654	medic3	goTo(DropZone)
action 	1478066416184	medic2	goTo(DropZone)
action 	1478066416558	medic3	goTo(FrontDropZone)
action 	1478066417136	medic1	goTo(DropZone)
action 	1478066418306	medic1	goTo(FrontDropZone)
action 	1478066418727	medic3	goTo(DropZone)
action 	1478066418820	medic2	goTo(DropZone)
action 	1478066419554	medic3	goTo(FrontDropZone)
action 	1478066419585	medic1	goTo(DropZone)
action 	1478066420692	medic1	goTo(FrontDropZone)
action 	1478066420802	medic3	goTo(DropZone)
action 	1478066421254	medic2	goTo(DropZone)
action 	1478066421784	medic1	goTo(DropZone)
action 	1478066421925	medic3	goTo(FrontDropZone)
action 	1478066423079	medic3	goTo(DropZone)
action 	1478066423968	medic2	goTo(DropZone)
action 	1478066423968	medic3	goTo(FrontDropZone)
action 	1478066424733	medic1	goTo(DropZone)
action 	1478066424795	medic2	goTo(FrontDropZone)
action 	1478066425232	medic3	goTo(DropZone)
action 	1478066425840	medic1	goTo(FrontDropZone)
action 	1478066426012	medic2	goTo(DropZone)
action 	1478066427121	medic2	goTo(FrontDropZone)
action 	1478066427230	medic1	goTo(DropZone)
action 	1478066427808	medic3	goTo(DropZone)
action 	1478066428260	medic1	goTo(FrontDropZone)
action 	1478066428463	medic2	goTo(DropZone)
action 	1478066429369	medic2	goTo(FrontDropZone)
action 	1478066429541	medic1	goTo(DropZone)
action 	1478066430211	medic3	goTo(DropZone)
action 	1478066430508	medic2	goTo(DropZone)
action 	1478066430742	medic1	goTo(FrontDropZone)
action 	1478066432168	medic1	goTo(DropZone)
action 	1478066432746	medic3	goTo(DropZone)
action 	1478066432902	medic2	goTo(DropZone)
action 	1478066433760	medic1	goTo(FrontDropZone)
action 	1478066435226	medic1	goTo(DropZone)
action 	1478066435554	medic3	goTo(DropZone)
action 	1478066435788	medic2	goTo(DropZone)
action 	1478066436380	medic1	goTo(FrontDropZone)
action 	1478066437644	medic1	goTo(DropZone)
action 	1478066438162	medic2	goTo(DropZone)
action 	1478066438255	medic3	goTo(DropZone)
action 	1478066438505	medic1	goTo(FrontDropZone)
action 	1478066439818	medic1	goTo(DropZone)
action 	1478066440614	medic3	goTo(DropZone)
action 	1478066440754	medic2	goTo(DropZone)
action 	1478066440864	medic1	goTo(FrontDropZone)
action 	1478066441488	medic2	goTo(FrontDropZone)
action 	1478066442205	medic1	goTo(DropZone)
action 	1478066442642	medic2	goTo(DropZone)
action 	1478066443235	medic3	goTo(DropZone)
action 	1478066443500	medic1	goTo(FrontDropZone)
action 	1478066444970	medic1	goTo(DropZone)
action 	1478066445391	medic2	goTo(DropZone)
action 	1478066445719	medic3	goTo(DropZone)
action 	1478066445984	medic1	goTo(FrontDropZone)
action 	1478066447279	medic1	goTo(DropZone)
action 	1478066448075	medic2	goTo(DropZone)
action 	1478066448168	medic3	goTo(DropZone)
action 	1478066448371	medic1	goTo(FrontDropZone)
action 	1478066449837	medic1	goTo(DropZone)
action 	1478066450914	medic3	goTo(DropZone)
action 	1478066450992	medic2	goTo(DropZone)
action 	1478066451039	medic1	goTo(FrontDropZone)
action 	1478066451959	medic2	goTo(FrontDropZone)
